,K8s节点,广告服务,结账服务,TiDB-TiKV,前端服务,购物车服务,物流服务,推荐服务,支付服务,货币服务,商品目录服务,邮件服务,其他
K8s节点,0.32926829268292684,0.024390243902439025,0.0,0.036585365853658534,0.0,0.2073170731707317,0.024390243902439025,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.34146341463414637
广告服务,0.015151515151515152,0.8787878787878788,0.0,0.0,0.015151515151515152,0.030303030303030304,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.045454545454545456
结账服务,0.0,0.03278688524590164,0.22950819672131148,0.0,0.0,0.2459016393442623,0.09836065573770492,0.0,0.13114754098360656,0.0,0.06557377049180328,0.06557377049180328,0.13114754098360656
TiDB-TiKV,0.022727272727272728,0.0,0.0,0.6818181818181818,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.13636363636363635
前端服务,0.0,0.16216216216216217,0.08108108108108109,0.0,0.16216216216216217,0.24324324324324326,0.0,0.08108108108108109,0.0,0.08108108108108109,0.13513513513513514,0.0,0.05405405405405406
购物车服务,0.05,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.4
物流服务,0.0,0.0,0.0,0.0,0.0,0.1875,0.625,0.0,0.0,0.0,0.0,0.0,0.1875
推荐服务,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.6,0.0,0.0,0.2,0.0,0.13333333333333333
支付服务,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2857142857142857
货币服务,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.7692307692307693,0.0,0.0,0.07692307692307693
商品目录服务,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091
邮件服务,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2
其他,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.45454545454545453
